"feature_id","unique_slug","title","category","subcategory","primary_user","secondary_user","real_world_problem","user_story","detailed_behavior","reason_users_value_it","reason_users_return","reason_it_is_different","safety_impact","accessibility_impact","privacy_impact","monetization_relationship","free_or_paid","platform_scope","swift_path","flutter_path","backend_tables","rpc_edge_function","storage_requirement","analytics_requirement","notification_requirement","moderation_requirement","legal_review_requirement","dependencies","estimated_effort","expected_impact","retention_score","safety_score","accessibility_score","growth_score","revenue_score","differentiation_score","complexity_score","risk_score","implementation_priority","implementation_status","verification_evidence","test_status","Mac_required","iPhone_required","manual_dashboard_required","reason_deferred","implementation_wave","evidence_checks"
"MORT-F-0001","teen-work-opportunity-radar-feed-personal-control","Opportunity Radar feed personal control","Teen earning and work experience","discovery","teen","adult, guardian","Teen workers have limited experience, fragmented tools, and uneven access to safe local opportunity. For opportunity radar feed, People need to configure this capability for their real circumstances.","As a teen, I want opportunity radar feed personal control so I can get a trustworthy outcome without unsafe workarounds.","Provides bounded setup, safe defaults, preview, edit, and reset for opportunity radar feed.","It replaces vague workarounds with an explicit user choice. In MORT, that value is tied to a concrete, authorized local-work outcome.","Their safe work history, skills, goals, and repeat relationships become more useful over time.","MORT adapts this capability for ages 13-17, local work, explainable trust, approximate-location privacy, optional Guardian Mode, and free safety controls.","Must preserve age, block, report, Safety Ping, prohibited-work, and account-restriction rules.","Requires semantic labels, responsive text, keyboard or focus support, non-color status, and accessible errors.","Collect only minimum data; keep exact teen location, private messages, evidence, and sensitive records nonpublic.","Core capability; optional perks cannot reduce safety, privacy, access, or fair opportunity.","free","shared SwiftUI + Flutter Web + Supabase where authority is required","not_started","not_started","design_required - additive schema only if persistence or authority is needed","design_required - checked RPC or Edge Function if client writes are unsafe","none identified","Privacy-preserving adoption and outcome metrics; exclude sensitive traits and exact teen location.","Only for time-sensitive user value and only with category preferences; otherwise none.","Report and block remain available; add routine moderation only when content risk exists.","Required before release for youth-work, jurisdiction, privacy, safety, or claims review; no compliance claim.","Authenticated profile; role authorization; loading, empty, error, success, and recovery states; shared safety policy.","XL","medium","4","4","3","3","1","3","4","4","55","accepted_roadmap","none - accepted roadmap capability only","not_started","true","true","false","Accepted roadmap item; not implemented in this pass. Requires dependency design and scoped safety/accessibility review.","Wave 2 - repeat value","[]"
"MORT-F-0002","teen-work-opportunity-radar-feed-readiness-guidance","Opportunity Radar feed readiness guidance","Teen earning and work experience","discovery","teen","adult, guardian","Teen workers have limited experience, fragmented tools, and uneven access to safe local opportunity. For opportunity radar feed, People cannot easily tell what is required before acting.","As a teen, I want opportunity radar feed readiness guidance so I can get a trustworthy outcome without unsafe workarounds.","Explains prerequisites, unavailable reasons, and a safe next step for opportunity radar feed.","It reduces uncertainty before a real commitment. In MORT, that value is tied to a concrete, authorized local-work outcome.","Their safe work history, skills, goals, and repeat relationships become more useful over time.","MORT adapts this capability for ages 13-17, local work, explainable trust, approximate-location privacy, optional Guardian Mode, and free safety controls.","Must preserve age, block, report, Safety Ping, prohibited-work, and account-restriction rules.","Requires semantic labels, responsive text, keyboard or focus support, non-color status, and accessible errors.","Collect only minimum data; keep exact teen location, private messages, evidence, and sensitive records nonpublic.","Core capability; optional perks cannot reduce safety, privacy, access, or fair opportunity.","free","shared SwiftUI + Flutter Web + Supabase where authority is required","not_started","not_started","design_required - additive schema only if persistence or authority is needed","design_required - checked RPC or Edge Function if client writes are unsafe","none identified","Privacy-preserving adoption and outcome metrics; exclude sensitive traits and exact teen location.","Only for time-sensitive user value and only with category preferences; otherwise none.","Report and block remain available; add routine moderation only when content risk exists.","Required before release for youth-work, jurisdiction, privacy, safety, or claims review; no compliance claim.","Authenticated profile; role authorization; loading, empty, error, success, and recovery states; shared safety policy.","XL","medium","4","3","2","4","2","3","4","4","50","accepted_roadmap","none - accepted roadmap capability only","not_started","true","true","false","Accepted roadmap item; not implemented in this pass. Requires dependency design and scoped safety/accessibility review.","Wave 2 - repeat value","[]"
"MORT-F-0003","teen-work-opportunity-radar-feed-guided-workflow","Opportunity Radar feed guided workflow","Teen earning and work experience","discovery","teen","adult, guardian","Teen workers have limited experience, fragmented tools, and uneven access to safe local opportunity. For opportunity radar feed, First-time or occasional users need support at the moment of action.","As a teen, I want opportunity radar feed guided workflow so I can get a trustworthy outcome without unsafe workarounds.","Guides opportunity radar feed through loading, empty, error, success, and cancellation states.","It makes a real marketplace task easier to complete. In MORT, that value is tied to a concrete, authorized local-work outcome.","Their safe work history, skills, goals, and repeat relationships become more useful over time.","MORT adapts this capability for ages 13-17, local work, explainable trust, approximate-location privacy, optional Guardian Mode, and free safety controls.","Must preserve age, block, report, Safety Ping, prohibited-work, and account-restriction rules.","Requires semantic labels, responsive text, keyboard or focus support, non-color status, and accessible errors.","Collect only minimum data; keep exact teen location, private messages, evidence, and sensitive records nonpublic.","Core capability; optional perks cannot reduce safety, privacy, access, or fair opportunity.","free","shared SwiftUI + Flutter Web + Supabase where authority is required","not_started","not_started","design_required - additive schema only if persistence or authority is needed","design_required - checked RPC or Edge Function if client writes are unsafe","none identified","Privacy-preserving adoption and outcome metrics; exclude sensitive traits and exact teen location.","Only for time-sensitive user value and only with category preferences; otherwise none.","Report and block remain available; add routine moderation only when content risk exists.","Required before release for youth-work, jurisdiction, privacy, safety, or claims review; no compliance claim.","Authenticated profile; role authorization; loading, empty, error, success, and recovery states; shared safety policy.","XL","medium","4","3","2","4","2","3","4","4","50","accepted_roadmap","none - accepted roadmap capability only","not_started","true","true","false","Accepted roadmap item; not implemented in this pass. Requires dependency design and scoped safety/accessibility review.","Wave 2 - repeat value","[]"
"MORT-F-0004","teen-work-opportunity-radar-feed-progress-history","Opportunity Radar feed progress and history","Teen earning and work experience","discovery","teen","adult, guardian","Teen workers have limited experience, fragmented tools, and uneven access to safe local opportunity. For opportunity radar feed, Useful progress is lost when it is not recorded or its source is unclear.","As a teen, I want opportunity radar feed progress and history so I can get a trustworthy outcome without unsafe workarounds.","Records authorized status and history for opportunity radar feed, distinguishing verified from self-entered details.","It creates durable value that improves with legitimate use. In MORT, that value is tied to a concrete, authorized local-work outcome.","Their safe work history, skills, goals, and repeat relationships become more useful over time.","MORT adapts this capability for ages 13-17, local work, explainable trust, approximate-location privacy, optional Guardian Mode, and free safety controls.","Must preserve age, block, report, Safety Ping, prohibited-work, and account-restriction rules.","Requires semantic labels, responsive text, keyboard or focus support, non-color status, and accessible errors.","Collect only minimum data; keep exact teen location, private messages, evidence, and sensitive records nonpublic.","Core capability; optional perks cannot reduce safety, privacy, access, or fair opportunity.","free","shared SwiftUI + Flutter Web + Supabase where authority is required","not_started","not_started","design_required - additive schema only if persistence or authority is needed","design_required - checked RPC or Edge Function if client writes are unsafe","none identified","Privacy-preserving adoption and outcome metrics; exclude sensitive traits and exact teen location.","Only for time-sensitive user value and only with category preferences; otherwise none.","Report and block remain available; add routine moderation only when content risk exists.","Required before release for youth-work, jurisdiction, privacy, safety, or claims review; no compliance claim.","Authenticated profile; role authorization; loading, empty, error, success, and recovery states; shared safety policy.","XL","medium","5","2","4","3","2","4","4","2","58","accepted_roadmap","none - accepted roadmap capability only","not_started","true","true","false","Accepted roadmap item; not implemented in this pass. Requires dependency design and scoped safety/accessibility review.","Wave 2 - repeat value","[]"
"MORT-F-0005","teen-work-opportunity-radar-feed-privacy-recovery","Opportunity Radar feed privacy and recovery","Teen earning and work experience","discovery","teen","adult, guardian","Teen workers have limited experience, fragmented tools, and uneven access to safe local opportunity. For opportunity radar feed, Users need agency when information is too exposed or a plan changes.","As a teen, I want opportunity radar feed privacy and recovery so I can get a trustworthy outcome without unsafe workarounds.","Adds visibility, pause, correction, and recovery controls for opportunity radar feed without erasing required safety records.","It preserves control without weakening accountability. In MORT, that value is tied to a concrete, authorized local-work outcome.","Their safe work history, skills, goals, and repeat relationships become more useful over time.","MORT adapts this capability for ages 13-17, local work, explainable trust, approximate-location privacy, optional Guardian Mode, and free safety controls.","Must preserve age, block, report, Safety Ping, prohibited-work, and account-restriction rules.","Requires semantic labels, responsive text, keyboard or focus support, non-color status, and accessible errors.","Collect only minimum data; keep exact teen location, private messages, evidence, and sensitive records nonpublic.","Core capability; optional perks cannot reduce safety, privacy, access, or fair opportunity.","free","shared SwiftUI + Flutter Web + Supabase where authority is required","not_started","not_started","design_required - additive schema only if persistence or authority is needed","design_required - checked RPC or Edge Function if client writes are unsafe","none identified","Privacy-preserving adoption and outcome metrics; exclude sensitive traits and exact teen location.","Only for time-sensitive user value and only with category preferences; otherwise none.","Report and block remain available; add routine moderation only when content risk exists.","Required before release for youth-work, jurisdiction, privacy, safety, or claims review; no compliance claim.","Authenticated profile; role authorization; loading, empty, error, success, and recovery states; shared safety policy.","L","medium","4","4","3","2","1","3","3","4","54","accepted_roadmap","none - accepted roadmap capability only","not_started","true","true","false","Accepted roadmap item; not implemented in this pass. Requires dependency design and scoped safety/accessibility review.","Wave 2 - repeat value","[]"
"MORT-F-0006","teen-work-saved-opportunity-search-personal-control","Saved opportunity search personal control","Teen earning and work experience","discovery","teen","adult, guardian","Teen workers have limited experience, fragmented tools, and uneven access to safe local opportunity. For saved opportunity search, People need to configure this capability for their real circumstances.","As a teen, I want saved opportunity search personal control so I can get a trustworthy outcome without unsafe workarounds.","Provides bounded setup, safe defaults, preview, edit, and reset for saved opportunity search.","It replaces vague workarounds with an explicit user choice. In MORT, that value is tied to a concrete, authorized local-work outcome.","Their safe work history, skills, goals, and repeat relationships become more useful over time.","MORT adapts this capability for ages 13-17, local work, explainable trust, approximate-location privacy, optional Guardian Mode, and free safety controls.","Must preserve age, block, report, Safety Ping, prohibited-work, and account-restriction rules.","Requires semantic labels, responsive text, keyboard or focus support, non-color status, and accessible errors.","Collect only minimum data; keep exact teen location, private messages, evidence, and sensitive records nonpublic.","Core capability; optional perks cannot reduce safety, privacy, access, or fair opportunity.","free","shared SwiftUI + Flutter Web + Supabase where authority is required","not_started","not_started","design_required - additive schema only if persistence or authority is needed","design_required - checked RPC or Edge Function if client writes are unsafe","none identified","Privacy-preserving adoption and outcome metrics; exclude sensitive traits and exact teen location.","Only for time-sensitive user value and only with category preferences; otherwise none.","Report and block remain available; add routine moderation only when content risk exists.","Required before release for youth-work, jurisdiction, privacy, safety, or claims review; no compliance claim.","Authenticated profile; role authorization; loading, empty, error, success, and recovery states; shared safety policy.","XL","medium","3","2","4","3","1","5","4","3","52","accepted_roadmap","none - accepted roadmap capability only","not_started","true","true","false","Accepted roadmap item; not implemented in this pass. Requires dependency design and scoped safety/accessibility review.","Wave 2 - repeat value","[]"
"MORT-F-0007","teen-work-saved-opportunity-search-readiness-guidance","Saved opportunity search readiness guidance","Teen earning and work experience","discovery","teen","adult, guardian","Teen workers have limited experience, fragmented tools, and uneven access to safe local opportunity. For saved opportunity search, People cannot easily tell what is required before acting.","As a teen, I want saved opportunity search readiness guidance so I can get a trustworthy outcome without unsafe workarounds.","Explains prerequisites, unavailable reasons, and a safe next step for saved opportunity search.","It reduces uncertainty before a real commitment. In MORT, that value is tied to a concrete, authorized local-work outcome.","Their safe work history, skills, goals, and repeat relationships become more useful over time.","MORT adapts this capability for ages 13-17, local work, explainable trust, approximate-location privacy, optional Guardian Mode, and free safety controls.","Must preserve age, block, report, Safety Ping, prohibited-work, and account-restriction rules.","Requires semantic labels, responsive text, keyboard or focus support, non-color status, and accessible errors.","Collect only minimum data; keep exact teen location, private messages, evidence, and sensitive records nonpublic.","Core capability; optional perks cannot reduce safety, privacy, access, or fair opportunity.","free","shared SwiftUI + Flutter Web + Supabase where authority is required","not_started","not_started","design_required - additive schema only if persistence or authority is needed","design_required - checked RPC or Edge Function if client writes are unsafe","none identified","Privacy-preserving adoption and outcome metrics; exclude sensitive traits and exact teen location.","Only for time-sensitive user value and only with category preferences; otherwise none.","Report and block remain available; add routine moderation only when content risk exists.","Required before release for youth-work, jurisdiction, privacy, safety, or claims review; no compliance claim.","Authenticated profile; role authorization; loading, empty, error, success, and recovery states; shared safety policy.","M","medium","3","3","4","2","2","4","2","4","56","accepted_roadmap","none - accepted roadmap capability only","not_started","true","true","false","Accepted roadmap item; not implemented in this pass. Requires dependency design and scoped safety/accessibility review.","Wave 2 - repeat value","[]"
"MORT-F-0008","teen-work-saved-opportunity-search-guided-workflow","Saved opportunity search guided workflow","Teen earning and work experience","discovery","teen","adult, guardian","Teen workers have limited experience, fragmented tools, and uneven access to safe local opportunity. For saved opportunity search, First-time or occasional users need support at the moment of action.","As a teen, I want saved opportunity search guided workflow so I can get a trustworthy outcome without unsafe workarounds.","Guides saved opportunity search through loading, empty, error, success, and cancellation states.","It makes a real marketplace task easier to complete. In MORT, that value is tied to a concrete, authorized local-work outcome.","Their safe work history, skills, goals, and repeat relationships become more useful over time.","MORT adapts this capability for ages 13-17, local work, explainable trust, approximate-location privacy, optional Guardian Mode, and free safety controls.","Must preserve age, block, report, Safety Ping, prohibited-work, and account-restriction rules.","Requires semantic labels, responsive text, keyboard or focus support, non-color status, and accessible errors.","Collect only minimum data; keep exact teen location, private messages, evidence, and sensitive records nonpublic.","Core capability; optional perks cannot reduce safety, privacy, access, or fair opportunity.","free","shared SwiftUI + Flutter Web + Supabase where authority is required","not_started","not_started","design_required - additive schema only if persistence or authority is needed","design_required - checked RPC or Edge Function if client writes are unsafe","none identified","Privacy-preserving adoption and outcome metrics; exclude sensitive traits and exact teen location.","Only for time-sensitive user value and only with category preferences; otherwise none.","Report and block remain available; add routine moderation only when content risk exists.","Required before release for youth-work, jurisdiction, privacy, safety, or claims review; no compliance claim.","Authenticated profile; role authorization; loading, empty, error, success, and recovery states; shared safety policy.","XL","medium","5","2","4","3","2","4","4","3","57","accepted_roadmap","none - accepted roadmap capability only","not_started","true","true","false","Accepted roadmap item; not implemented in this pass. Requires dependency design and scoped safety/accessibility review.","Wave 2 - repeat value","[]"
"MORT-F-0009","teen-work-saved-opportunity-search-progress-history","Saved opportunity search progress and history","Teen earning and work experience","discovery","teen","adult, guardian","Teen workers have limited experience, fragmented tools, and uneven access to safe local opportunity. For saved opportunity search, Useful progress is lost when it is not recorded or its source is unclear.","As a teen, I want saved opportunity search progress and history so I can get a trustworthy outcome without unsafe workarounds.","Records authorized status and history for saved opportunity search, distinguishing verified from self-entered details.","It creates durable value that improves with legitimate use. In MORT, that value is tied to a concrete, authorized local-work outcome.","Their safe work history, skills, goals, and repeat relationships become more useful over time.","MORT adapts this capability for ages 13-17, local work, explainable trust, approximate-location privacy, optional Guardian Mode, and free safety controls.","Must preserve age, block, report, Safety Ping, prohibited-work, and account-restriction rules.","Requires semantic labels, responsive text, keyboard or focus support, non-color status, and accessible errors.","Collect only minimum data; keep exact teen location, private messages, evidence, and sensitive records nonpublic.","Core capability; optional perks cannot reduce safety, privacy, access, or fair opportunity.","free","shared SwiftUI + Flutter Web + Supabase where authority is required","not_started","not_started","design_required - additive schema only if persistence or authority is needed","design_required - checked RPC or Edge Function if client writes are unsafe","none identified","Privacy-preserving adoption and outcome metrics; exclude sensitive traits and exact teen location.","Only for time-sensitive user value and only with category preferences; otherwise none.","Report and block remain available; add routine moderation only when content risk exists.","Required before release for youth-work, jurisdiction, privacy, safety, or claims review; no compliance claim.","Authenticated profile; role authorization; loading, empty, error, success, and recovery states; shared safety policy.","XL","medium","4","3","2","4","2","3","4","4","50","accepted_roadmap","none - accepted roadmap capability only","not_started","true","true","false","Accepted roadmap item; not implemented in this pass. Requires dependency design and scoped safety/accessibility review.","Wave 2 - repeat value","[]"
"MORT-F-0010","teen-work-saved-opportunity-search-privacy-recovery","Saved opportunity search privacy and recovery","Teen earning and work experience","discovery","teen","adult, guardian","Teen workers have limited experience, fragmented tools, and uneven access to safe local opportunity. For saved opportunity search, Users need agency when information is too exposed or a plan changes.","As a teen, I want saved opportunity search privacy and recovery so I can get a trustworthy outcome without unsafe workarounds.","Adds visibility, pause, correction, and recovery controls for saved opportunity search without erasing required safety records.","It preserves control without weakening accountability. In MORT, that value is tied to a concrete, authorized local-work outcome.","Their safe work history, skills, goals, and repeat relationships become more useful over time.","MORT adapts this capability for ages 13-17, local work, explainable trust, approximate-location privacy, optional Guardian Mode, and free safety controls.","Must preserve age, block, report, Safety Ping, prohibited-work, and account-restriction rules.","Requires semantic labels, responsive text, keyboard or focus support, non-color status, and accessible errors.","Collect only minimum data; keep exact teen location, private messages, evidence, and sensitive records nonpublic.","Core capability; optional perks cannot reduce safety, privacy, access, or fair opportunity.","free","shared SwiftUI + Flutter Web + Supabase where authority is required","not_started","not_started","design_required - additive schema only if persistence or authority is needed","design_required - checked RPC or Edge Function if client writes are unsafe","none identified","Privacy-preserving adoption and outcome metrics; exclude sensitive traits and exact teen location.","Only for time-sensitive user value and only with category preferences; otherwise none.","Report and block remain available; add routine moderation only when content risk exists.","Required before release for youth-work, jurisdiction, privacy, safety, or claims review; no compliance claim.","Authenticated profile; role authorization; loading, empty, error, success, and recovery states; shared safety policy.","L","medium","3","2","4","3","1","5","3","3","54","accepted_roadmap","none - accepted roadmap capability only","not_started","true","true","false","Accepted roadmap item; not implemented in this pass. Requires dependency design and scoped safety/accessibility review.","Wave 2 - repeat value","[]"
