"Data type","Collected","Shared","Purpose","Required","Encrypted in transit","Deletion","Retention","SDK/service","User disclosure","Source evidence"
"Name/display name","Yes","No","Account/profile and job context","Required after onboarding","Yes","Ordinary profile deletion","Account life plus approved holds","Supabase","Privacy policy/profile UI","profiles.display_name; profile_repository.dart"
"Email","Yes","No","Authentication, recovery, deletion verification","Required","Yes","Auth deletion process","Auth/security retention","Supabase Auth","Auth and privacy policy","Supabase Auth; auth_repository.dart"
"Phone","Optional","No","Closed-pilot/contact trust when enabled","Optional","Yes","Account deletion review","Security/pilot policy","Supabase","Privacy and profile disclosure","auth users / pilot eligibility"
"Date of birth and age band","Yes","No","13+ gate and role eligibility","Required for onboarding","Yes","Ordinary profile deletion subject to holds","Eligibility/audit policy","Supabase Postgres","Age gate and privacy policy","profiles.dob; enforce_profile_completion"
"User IDs","Yes","No","Authorization, ownership, audit","Required","Yes","Pseudonymized/deleted by process","Security/legal records may remain","Supabase","Privacy policy","Auth UUID and FK schema"
"Approximate location","Optional","No","Nearby area and job matching","Optional","Yes","Account/job deletion rules","Job/interaction retention","geolocator, geocoding, Supabase","Contextual permission/privacy policy","location services and jobs"
"Precise temporary location","Optional","No","User-invoked foreground feature only","Optional","Yes","Deletion and bounded workflow","No background tracking; approved record only","geolocator, Supabase when submitted","Runtime permission and privacy policy","Android manifest; location service"
"Messages","Yes","No","Job-context communication and safety","Optional to use messaging","Yes","Account deletion subject to safety holds","Safety/dispute retention","Supabase","Messaging rules/privacy policy","messages table; messaging_repository.dart"
"Photos/files","Optional","No","Proof, avatar, portfolio where enabled","Optional","Yes","Storage deletion subject to holds","Category-specific","image_picker, Supabase Storage","Picker disclosure/privacy policy","uploads_repository.dart; storage policies"
"Job/application activity","Yes","No","Marketplace workflow and closed-pilot QA","Core feature","Yes","Account/job deletion rules","Contract/dispute/safety retention","Supabase","Terms/privacy","jobs/applications schema"
"App interactions","Yes","No","Rate limiting, audit, feature operations","Core service","Yes","Policy-based","Security/abuse windows","Supabase","Privacy policy","rate_limit_events and audit tables"
"Diagnostics","Limited","No","Startup/network error handling and server logs","Operational","Yes","Policy-based","Infrastructure log window","Flutter/Supabase","Privacy policy","no crash analytics SDK configured"
"Device identifiers","Limited","No","Session security/device context where provided","Operational","Yes","Account/security process","Security retention","device_info_plus, Supabase Auth","Privacy policy","device info service; no ad ID permission"
"Safety reports","Yes","No","Abuse response and enforcement","Optional","Yes","May be retained after account deletion","Safety/legal hold","Supabase","Report flow/privacy policy","reports and restricted evidence tables"
"Support communications","Optional","No","Resolve user requests","Optional","Yes","Deletion request subject to support retention","Support/safety policy","Supabase","Support/privacy","support_tickets/messages"
"Payment preference","Optional","No","Record off-platform preference only","Optional","Yes","Account/job deletion rules","Work/dispute record","Supabase","Terms/payment UI","profiles.payment_preference; no processing"
"Earnings/work records","Optional","No","Work completion and user records","Feature dependent","Yes","Account deletion subject to lawful retention","Contract/dispute policy","Supabase","Terms/privacy","job contracts/obligations"
"Organization affiliation","Optional","No","Closed-pilot eligibility and role scope","Pilot dependent","Yes","Account/pilot deletion process","Pilot/audit retention","Supabase","Pilot disclosure","partner memberships/enrollments"
